station_id,longitude,latitude
shunyi_meo,116.6152777777778,40.126666666666665
hadian_meo,116.29055555555556,39.986944444444454
yanqing_meo,115.96888888888887,40.44944444444444
miyun_meo,116.86416666666666,40.3775
huairou_meo,116.62694444444445,40.35777777777777
shangdianzi_meo,117.11166666666666,40.65888888888889
pinggu_meo,117.11777777777776,40.16944444444445
tongzhou_meo,116.75666666666666,39.8475
chaoyang_meo,116.50083333333332,39.9525
pingchang_meo,116.21166666666667,40.223333333333336
zhaitang_meo,115.69222222222223,39.9738888888889
mentougou_meo,116.15638888888893,39.88777777777778
beijing_meo,116.46944444444445,39.806111111111115
shijingshan_meo,116.20527777777778,39.9425
fengtai_meo,116.24527777777777,39.87027777777778
daxing_meo,116.35444444444445,39.718611111111116
fangshan_meo,116.19416666666667,39.77305555555555
xiayunling_meo,115.74055555555556,39.728611111111114
